key,date,value
C,12/1/12,25899875
C,12/1/13,59797650
C,12/1/14,41546600
C,12/1/15,191813650
C,2/1/08,544500
C,2/1/09,900800
C,2/1/10,1910800
C,2/1/11,2377175
C,2/1/12,6290700
C,2/1/13,36081450
C,2/1/14,65991875
C,2/1/15,99959500
C,3/1/08,908950
C,3/1/09,1073650
C,3/1/10,1987525
C,3/1/11,2776750
C,3/1/12,7098100
C,3/1/13,37673050
C,3/1/14,72668175
C,3/1/15,108969275
C,4/1/08,571850
C,4/1/09,812600
C,4/1/10,2450675
C,4/1/11,3252950
C,4/1/12,8253425
C,4/1/13,40846350
C,4/1/14,77601050
C,4/1/15,147133625
C,5/1/08,145775
C,5/1/09,911350
C,5/1/10,2390975
C,5/1/11,3849925
C,5/1/12,8888600
C,5/1/13,41206050
C,5/1/14,79352250
C,5/1/15,129915900
C,6/1/07,32850
C,6/1/08,201275
C,6/1/09,957900
C,6/1/10,2251050
C,6/1/11,4232125
C,6/1/12,10638100
C,6/1/13,44187800
C,6/1/14,70141525
C,6/1/15,115404075
C,7/1/07,105350
C,7/1/08,240675
C,7/1/09,974950
C,7/1/10,2601450
C,7/1/11,4244325
C,7/1/12,12731775
C,7/1/13,49652975
C,7/1/14,119714025
C,7/1/15,193028775
C,8/1/07,51725
C,8/1/08,151025
C,8/1/09,975650
C,8/1/10,2674125
C,8/1/11,4261300
C,8/1/12,14935050
C,8/1/13,53648125
C,8/1/14,70107550
C,8/1/15,154024225
C,9/1/07,62875
C,9/1/08,110075
C,9/1/09,1224850
C,9/1/10,2404825
C,9/1/11,4451225
C,9/1/12,16433925
C,9/1/13,57017850
C,9/1/14,40064350
C,9/1/15,121301650
D,1/1/08,495375
D,1/1/09,510400
D,1/1/10,1277725
D,1/1/11,2305950
D,1/1/12,4733850
D,1/1/13,12157375
D,1/1/14,44049800
D,1/1/15,93245425
D,10/1/07,124575
D,10/1/08,164750
D,10/1/09,1174425
D,10/1/10,1747900
D,10/1/11,3404375
D,10/1/12,15112225
D,10/1/13,29102025
D,10/1/14,103881600
D,10/1/15,107299225
D,11/1/07,140400
D,11/1/08,372375
D,11/1/09,1454650
D,11/1/10,1775300
D,11/1/11,3531325
D,11/1/12,16991825
D,11/1/13,35772600
D,11/1/14,65727225
D,11/1/15,78969850
D,12/1/07,381475
D,12/1/08,341950
D,12/1/09,1176800
D,12/1/10,1912825
D,12/1/11,4668050
D,12/1/12,12051750
D,12/1/13,40157725
D,12/1/14,24640275
D,12/1/15,101166925
D,2/1/08,547625
D,2/1/09,597200
D,2/1/10,1284100
D,2/1/11,2172050
D,2/1/12,4955225
D,2/1/13,12933950
D,2/1/14,44990700
D,2/1/15,59635825
D,3/1/08,863375
D,3/1/09,620900
D,3/1/10,1499175
D,3/1/11,2483750
D,3/1/12,4920300
D,3/1/13,15748275
D,3/1/14,48483325
D,3/1/15,64651000
D,4/1/08,396300
D,4/1/09,651250
D,4/1/10,1631825
D,4/1/11,2690825
D,4/1/12,5413400
D,4/1/13,19648675
D,4/1/14,57096025
D,4/1/15,87152925
D,5/1/08,133600
D,5/1/09,501450
D,5/1/10,1815900
D,5/1/11,3288525
D,5/1/12,6475700
D,5/1/13,21708475
D,5/1/14,60261550
D,5/1/15,75033225
D,6/1/07,1275
D,6/1/08,132375
D,6/1/09,462800
D,6/1/10,1827000
D,6/1/11,3106725
D,6/1/12,8534375
D,6/1/13,22860525
D,6/1/14,57734825
D,6/1/15,67426275
D,7/1/07,49375
D,7/1/08,139200
D,7/1/09,508225
D,7/1/10,1903525
D,7/1/11,2835350
D,7/1/12,10832375
D,7/1/13,23742800
D,7/1/14,98274050
D,7/1/15,108621150
D,8/1/07,63900
D,8/1/08,137800
D,8/1/09,470625
D,8/1/10,1983050
D,8/1/11,3657500
D,8/1/12,11124850
D,8/1/13,24072525
D,8/1/14,56269025
D,8/1/15,84985850
D,9/1/07,31550
D,9/1/08,34600
D,9/1/09,571400
D,9/1/10,2049675
D,9/1/11,3177250
D,9/1/12,12716450
D,9/1/13,25549150
D,9/1/14,28089075
D,9/1/15,70967175
E,1/1/08,396200
E,1/1/09,151550
E,1/1/10,567300
E,1/1/11,1618950
E,1/1/12,3257675
E,1/1/13,6821600
E,1/1/14,16138525
E,1/1/15,52964725
E,10/1/07,142350
E,10/1/08,78500
E,10/1/09,449325
E,10/1/10,1436350
E,10/1/11,2788450
E,10/1/12,8703000
E,10/1/13,16536975
E,10/1/14,56133750
E,10/1/15,66138475
E,11/1/07,211000
E,11/1/08,279400
E,11/1/09,408250
E,11/1/10,1028100
E,11/1/11,2895700
E,11/1/12,10531575
E,11/1/13,15794050
E,11/1/14,35921400
E,11/1/15,49738050
E,12/1/07,309225
E,12/1/08,179250
E,12/1/09,279400
E,12/1/10,1419350
E,12/1/11,4368525
E,12/1/12,7231200
E,12/1/13,17771775
E,12/1/14,13956300
E,12/1/15,59556350
E,2/1/08,381625
E,2/1/09,375925
E,2/1/10,283475
E,2/1/11,1944625
E,2/1/12,3531225
E,2/1/13,7009950
E,2/1/14,19876200
E,2/1/15,36466825
E,3/1/08,606050
E,3/1/09,394400
E,3/1/10,588300
E,3/1/11,2508950
E,3/1/12,3475350
E,3/1/13,7847075
E,3/1/14,23917150
E,3/1/15,38387025
E,4/1/08,307350
E,4/1/09,307375
E,4/1/10,349575
E,4/1/11,2190650
E,4/1/12,3265225
E,4/1/13,10909600
E,4/1/14,28593375
E,4/1/15,58465400
E,5/1/08,75700
E,5/1/09,198450
E,5/1/10,816550
E,5/1/11,2703625
E,5/1/12,4458725
E,5/1/13,15175775
E,5/1/14,28375875
E,5/1/15,52939525
E,6/1/07,8500
E,6/1/08,42500
E,6/1/09,89600
E,6/1/10,1261950
E,6/1/11,2360550
E,6/1/12,5768900
E,6/1/13,14334150
E,6/1/14,28838825
E,6/1/15,48578900
E,7/1/07,35850
E,7/1/08,108750
E,7/1/09,234700
E,7/1/10,1091100
E,7/1/11,2919675
E,7/1/12,6398425
E,7/1/13,14716825
E,7/1/14,47876475
E,7/1/15,74720925
E,8/1/07,70500
E,8/1/08,61500
E,8/1/09,355975
E,8/1/10,1429275
E,8/1/11,2526900
E,8/1/12,7018925
E,8/1/13,16544825
E,8/1/14,30491825
E,8/1/15,57886825
E,9/1/07,36400
E,9/1/08,45000
E,9/1/09,420225
E,9/1/10,1520600
E,9/1/11,2244625
E,9/1/12,6635850
E,9/1/13,17825375
E,9/1/14,15386350
E,9/1/15,49741825
F,1/1/08,314300
F,1/1/09,54400
F,1/1/10,200600
F,1/1/11,626825
F,1/1/12,1368475
F,1/1/13,2637075
F,1/1/14,5003625
F,1/1/15,17296950
F,10/1/07,117725
F,10/1/08,13450
F,10/1/09,152650
F,10/1/10,629300
F,10/1/11,1175925
F,10/1/12,3916025
F,10/1/13,9774300
F,10/1/14,16841325
F,10/1/15,19109225
F,11/1/07,120625
F,11/1/08,57500
F,11/1/09,162750
F,11/1/10,513400
F,11/1/11,1493100
F,11/1/12,5209575
F,11/1/13,6246750
F,11/1/14,11313750
F,11/1/15,13179950
F,12/1/07,145950
F,12/1/08,61000
F,12/1/09,164775
